seconds_elapsed,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.081771728515625,-1.126579067805037,-1.328501643140614,0.3827303203195333,0.2638424336910248,0.1499106138944625,-0.432686299085617,walking
0.091845458984375,-0.6863041018158197,-1.2503078118696809,0.7971540020197629,0.2643484473228454,0.0623139068484306,-0.4215191304683685,walking
0.101920654296875,-0.3639268356502056,-1.1522682934001087,1.1583411835730075,0.2185592800378799,-0.0283246468752622,-0.3797265589237213,walking
0.11199560546875,-0.2325735149912536,-1.087585393348336,1.311440325963497,0.155585378408432,-0.0733512490987777,-0.3301792442798614,walking
0.122069580078125,-0.1424967920944094,-1.0082926609247922,1.2258026084274052,0.1060369685292244,-0.0753468871116638,-0.292189359664917,walking
0.13214453125,-0.1629689406283199,-0.9549775425836444,1.0327741912305357,0.0691463276743888,-0.0630489438772201,-0.2735914289951324,walking
0.142219482421875,-0.2157015829063951,-0.9184773654431104,0.7685486697822809,0.0566100515425205,-0.0371829830110073,-0.2617220878601074,walking
0.15229345703125,-0.2245515365771949,-0.8920517153322696,0.4855091422706842,0.060399729758501,-0.0004691786598414,-0.2455599009990692,walking
0.162368408203125,-0.1434521931231021,-0.7756812981411815,0.2629553553819656,0.0776450484991073,0.03134560957551,-0.2241244316101074,walking
0.172443603515625,0.0387630075059831,-0.7246054831594229,0.2112409502357244,0.0804711952805519,0.0485773235559463,-0.1882604360580444,walking
0.1825185546875,0.242758370527625,-0.8221458199352025,0.3412351113706827,0.0587340481579303,0.0322078056633472,-0.1442678570747375,walking
0.192592529296875,0.4723839954987168,-0.9870642871960996,0.5401414806902408,0.0042047598399221,-0.0462923273444175,-0.0890506729483604,walking
0.20266748046875,0.5584159730494022,-1.1021695067569612,0.6783709707289933,-0.0773685872554779,-0.1852456927299499,-0.0416440330445766,walking
0.21274267578125,0.4149450752258301,-1.110989942072332,0.6405728627324104,-0.195599615573883,-0.357134610414505,-0.0230682156980037,walking
0.22281689453125,0.0488952560722827,-1.045930902184546,0.2979442511767148,-0.3220940232276916,-0.4840122759342193,-0.0347721092402935,walking
0.232891845703125,-0.2802818263012915,-0.9069541009098292,-0.3829354875028133,-0.4072054624557495,-0.4851664900779724,-0.0644509047269821,walking
0.242967041015625,-0.4285634854074567,-0.6809092570349574,-1.1949211479514836,-0.4272748827934265,-0.3621291220188141,-0.0854889154434204,walking
0.253040771484375,-0.3929944516371935,-0.3619993747189641,-1.81084647616148,-0.3831702768802643,-0.1666893064975738,-0.0828598365187645,walking
0.263115966796875,-0.2688234436977654,-0.1044163600251078,-2.1777923673719166,-0.3046604096889496,0.0452564992010593,-0.0558919198811054,walking
0.273191162109375,-0.0969069342430681,0.030502105769515,-2.258160620072484,-0.1964660286903381,0.2136455029249191,-0.0178539901971817,walking
0.283265869140625,0.1145217205844819,0.0301259659335017,-1.9646523055166003,-0.0965627655386924,0.2721839249134063,0.0288279056549072,walking
0.293340087890625,0.351768926475197,-0.0268926831007003,-1.398746853494644,-0.0437450930476188,0.207175612449646,0.0850898474454879,walking
0.3034150390625,0.5063913329102099,-0.0804533006355166,-0.8334142329245805,-0.0467041321098804,0.0730223506689071,0.1215860694646835,walking
0.31348974609375,0.5265831301327795,-0.0975125719860196,-0.4508844036132097,-0.0648325383663177,-0.0576941184699535,0.1555677354335785,walking
0.32356396484375,0.389421123195067,0.0593625818118453,-0.38144963285923,-0.0780524984002113,-0.0960680097341537,0.1941144913434982,walking
0.333638916015625,0.1320285165067762,0.4193661065384745,-0.526108863684535,-0.0657473653554916,-0.0195322223007679,0.2380792796611786,walking
0.3437138671875,-0.0357922480668872,0.7178294131532311,-0.6693932990252971,-0.0150250177830457,0.1697873771190643,0.2781857550144195,walking
0.353787841796875,-0.0527099920548498,0.8374328209161758,-0.635651772943139,0.0672669261693954,0.4119299948215484,0.3187611401081085,walking
0.363863037109375,0.044874768384546,0.7656696072146296,-0.2370750641942024,0.1482650339603424,0.5659609436988831,0.3444961309432983,walking
0.373937744140625,0.2564589790999889,0.5937050208345055,0.3568734100073575,0.209655150771141,0.5522696375846863,0.3802637159824371,walking
0.384012939453125,0.5267218810163438,0.4337243022367358,0.8923334548830986,0.2388458102941513,0.4077806174755096,0.4135155975818634,walking
0.3940869140625,0.6403890305981039,0.2452662616953253,1.37333417981863,0.2059376537799835,0.1948079019784927,0.4258532226085663,walking
0.404161865234375,0.6673141546636819,0.1022799325183033,1.7113766326278448,0.1228863596916198,-0.0795464217662811,0.4255973994731903,walking
0.41423681640625,0.6841410785630345,0.0170958039686083,1.7417162413120268,0.0047115120105445,-0.3368051052093506,0.4154523611068725,walking
0.42431103515625,0.5159607599619775,0.0213180978387594,1.4448843352913856,-0.1221243217587471,-0.502047061920166,0.3958005607128143,walking
0.4343857421875,0.2582587950635701,0.1245735973909497,0.8695856165021657,-0.2296987175941467,-0.5536841154098511,0.3747429549694061,walking
0.4444609375,-0.0446857486184686,0.2804609091952443,0.2326245145261287,-0.3164454698562622,-0.5274098515510559,0.3425927460193634,walking
0.454534912109375,-0.2969118393890559,0.3799938810929655,-0.3257452812939882,-0.3715100586414337,-0.4441381096839905,0.305378258228302,walking
0.46460986328125,-0.4734902762401848,0.4242778439775109,-0.8825193323552608,-0.3673232793807983,-0.3082457780838012,0.269424706697464,walking
0.474684814453125,-0.5760197996053844,0.4339940590888261,-1.416402921694517,-0.2906290292739868,-0.1400953829288482,0.2252617627382278,walking
0.484759765625,-0.6916871100284159,0.3796399530887603,-1.8884020095288752,-0.1452788710594177,0.0106025151908397,0.1681917756795883,walking
0.494833740234375,-0.8494198305036872,0.3946484293892979,-1.974655228614807,0.0264835618436336,0.0987116023898124,0.0841386839747428,walking
0.50490869140625,-0.950484468948096,0.3712681383237242,-1.6533938147366043,0.1902278214693069,0.1202901303768158,-0.0026622787117958,walking
0.51498388671875,-0.7971002260059118,0.2742243528932332,-1.1045289293646812,0.3186289668083191,0.1126607060432434,-0.0712964683771133,walking
0.5250576171875,-0.5551038528267294,0.2008133719846606,-0.4200193097501993,0.3859576880931854,0.0938795581459999,-0.1224500313401222,walking
0.5351328125,-0.3774490919809788,0.222552910105884,0.288439925250411,0.3907239437103271,0.0668689757585525,-0.1516627669334411,walking
0.5452080078125,-0.2507739922661334,0.2825958753973245,0.9121265351116656,0.3409939408302307,0.0273877456784248,-0.1721646338701248,walking
0.555282958984375,-0.1371500242389738,0.254687000991404,1.346918466579914,0.2507333159446716,-0.0107479216530919,-0.1900384426116943,walking
0.56535693359375,-0.0774406748160719,0.2398205635100603,1.5476707560271024,0.1562541723251342,-0.0365954935550689,-0.2006467878818512,walking
0.575431884765625,-0.117534492534399,0.3021767741799354,1.503393807405233,0.072828784584999,-0.061720822006464,-0.2139801681041717,walking
0.585507080078125,-0.233073062011227,0.4031926781117916,1.324171212720871,0.0078813629224896,-0.100372739136219,-0.2290502786636352,walking
0.595580810546875,-0.311044701898843,0.5335626868218183,1.0230652826428412,-0.0133930332958698,-0.1339165866374969,-0.24029441177845,walking
0.605656005859375,-0.3512823850672691,0.6285600611165165,0.6258738907724618,0.0137283336371183,-0.142537236213684,-0.2452905029058456,walking
0.615731201171875,-0.4415940857637673,0.7296417237609625,0.2205693350732326,0.0841628164052963,-0.1311080157756805,-0.2573429048061371,walking
0.625804931640625,-0.4707216152444481,0.8270280390188097,-0.0081453125327825,0.1706766188144683,-0.1159551590681076,-0.2659095823764801,walking
0.635880126953125,-0.3939702378667891,0.8304813943430781,-0.0636117636889219,0.2589215338230133,-0.1127926558256149,-0.2641369700431824,walking
0.645954833984375,-0.2216283426068723,0.7667512649714946,-0.0626952333658933,0.3404629826545715,-0.107911616563797,-0.2533048391342163,walking
0.65602978515625,0.0312546777024865,0.6156970724120736,0.0174316117942333,0.4037431478500366,-0.1600134372711181,-0.235286146402359,walking
0.66610400390625,0.191567331668362,0.5658163124337792,0.3493400918930768,0.4127861857414245,-0.3279273509979248,-0.1964425146579742,walking
0.676178955078125,0.1971300803620368,0.5492430710345506,0.5866302601426839,0.377897709608078,-0.4822255671024322,-0.1705427467823028,walking
0.686253662109375,-0.0249171452440321,0.4489429141566157,0.5963081890702248,0.3219582140445709,-0.4979671239852905,-0.1754350960254669,walking
0.696327880859375,-0.2557189013224095,0.2309913603663444,0.4203396277457475,0.2589462399482727,-0.4473774433135986,-0.2017697691917419,walking
0.70640283203125,-0.3582901449374854,0.0292526902303099,0.3251075679123401,0.1700972914695739,-0.4415487051010132,-0.2301170974969864,walking
0.716477783203125,-0.4968960670731961,-0.0730909551739692,0.23560616068542,0.0677165910601615,-0.4785616099834442,-0.2621341645717621,walking
0.7265517578125,-0.6353234177716076,-0.0777411190673708,0.0497352140277624,-0.0151973534375429,-0.5039026737213135,-0.3016642034053802,walking
0.736626953125,-0.7500752938501536,-0.0585427898615598,-0.2795370723485946,-0.0803089812397956,-0.4649773240089416,-0.3334344029426574,walking
0.746701904296875,-0.7618468340560793,-0.0069154784768819,-0.5955407118290662,-0.1290443390607834,-0.3501829802989959,-0.3546923100948334,walking
0.75677685546875,-0.741271444343403,0.0461982720732688,-0.8819552687317133,-0.1587074249982834,-0.185425192117691,-0.3622932136058807,walking
0.76685107421875,-0.6472331974044442,0.1021241574347019,-1.036221701335907,-0.1729119569063186,-0.0039342194795608,-0.3528338372707367,walking
0.77692578125,-0.4958836020950227,0.1825581688478589,-0.947605844771862,-0.1789035350084304,0.103773333132267,-0.3087955415248871,walking
0.7870009765625,-0.1455450006838888,0.2393392097339034,-0.7332207512915134,-0.168414369225502,0.1356937140226364,-0.2336437404155731,walking
0.797074951171875,0.2435362960975617,0.1947173931971192,-0.4555693465590477,-0.1434070169925689,0.138860747218132,-0.1234660968184471,walking
0.80714990234375,0.476226861597225,0.1003206151440739,-0.2047030728995799,-0.1056682243943214,0.1185745224356651,-0.0158174224197864,walking
0.817224853515625,0.4730262389250099,-0.0109691377818584,0.0172311207860708,-0.064698688685894,0.0752595365047454,0.0741838365793228,walking
0.8272998046875,0.3405402609743178,-0.178093006132543,0.293829801595211,-0.0327623933553695,0.0156028605997562,0.1383479386568069,walking
0.837373779296875,0.1532449075367301,-0.4058119206994772,0.514859155395627,-0.0232554413378238,-0.042308110743761,0.1776279658079147,walking
0.84744873046875,-0.051359454228729,-0.6356304378941655,0.7073024661809205,-0.0399896278977394,-0.0957703962922096,0.202128529548645,walking
0.85752392578125,-0.2243356288041919,-0.8808356170520186,0.7661229039400815,-0.0703760311007499,-0.1331108510494232,0.2053813189268112,walking
0.86759765625,-0.4564991747550666,-1.0594506012320517,0.7132453002333641,-0.120421715080738,-0.1334474682807922,0.1800782233476638,walking
0.8776728515625,-0.671990110585466,-1.167516131414473,0.6207973181605339,-0.1755888313055038,-0.1229668706655502,0.1411657035350799,walking
0.887748046875,-0.8694450389876961,-1.1947574818223714,0.4965069216251373,-0.2449895739555359,-0.0917623415589332,0.0997946858406066,walking
0.89782177734375,-0.9738768157776444,-1.1990122166574,0.3834878606885671,-0.2945430278778076,-0.0329775884747505,0.0535134710371494,walking
