time,seconds_elapsed,z,y,x
1782987858443635500,0.064635498046875,0.017904266715049744,0.09583760052919388,-0.1457141786813736
1782987858453710300,0.07471044921875,0.012295650318264961,0.3548808693885803,-0.11912810057401657
1782987858463784400,0.084784423828125,-0.014943510293960571,0.5341466069221497,-0.12914447486400604
1782987858473859300,0.094859375,-0.05078619718551636,0.6656124591827393,-0.1603117138147354
1782987858483933400,0.104933349609375,-0.093363918364048,0.7576148509979248,-0.20465581119060516
1782987858494008600,0.115008544921875,-0.14354905486106873,0.760370135307312,-0.25519701838493347
1782987858504082400,0.12508251953125,-0.19101397693157196,0.7077083587646484,-0.2818315923213959
1782987858514156300,0.13515625,-0.21511371433734894,0.6460037231445312,-0.28212082386016846
1782987858524231400,0.1452314453125,-0.21534956991672516,0.5552480220794678,-0.2608773708343506
1782987858534305300,0.15530517578125,-0.18759356439113617,0.46568354964256287,-0.23905277252197266
1782987858544380400,0.16538037109375,-0.1493927538394928,0.34988856315612793,-0.21067076921463013
1782987858554454300,0.175454345703125,-0.1059320941567421,0.2239607274532318,-0.19356022775173187
1782987858564529400,0.185529296875,-0.059383317828178406,0.1324293166399002,-0.1801849901676178
1782987858574603300,0.195603271484375,0.0013189087621867657,0.08849621564149857,-0.16323955357074738
1782987858584678400,0.205678466796875,0.06719847768545151,0.084125816822052,-0.12333103269338608
1782987858594752300,0.215752197265625,0.13968174159526825,0.10610461980104446,-0.038481391966342926
1782987858604827400,0.225827392578125,0.2028583288192749,0.15578491985797882,0.0844772681593895
1782987858614901500,0.235901611328125,0.24136602878570557,0.2391919195652008,0.22255951166152954
1782987858624976400,0.245976318359375,0.2674529552459717,0.33126240968704224,0.3521172106266022
1782987858635050500,0.256050537109375,0.286894291639328,0.37807199358940125,0.46545442938804626
1782987858645124400,0.266124267578125,0.2964583933353424,0.369153767824173,0.5497412085533142
1782987858655199500,0.276199462890625,0.2981897294521332,0.3058839738368988,0.602347731590271
1782987858665273300,0.2862734375,0.26815342903137207,0.18829551339149475,0.6219860911369324
1782987858675348500,0.296348388671875,0.22506561875343323,0.09650727361440659,0.6238660216331482
1782987858685422300,0.30642236328125,0.17970773577690125,-0.010303918272256851,0.6137187480926514
1782987858695497500,0.31649755859375,0.1232449859380722,-0.11074050515890121,0.5930390357971191
1782987858705571300,0.3265712890625,0.0772511288523674,-0.1799057424068451,0.5754523277282715
1782987858715646500,0.336646484375,0.03078749217092991,-0.21663258969783783,0.5624725818634033
1782987858725720300,0.34672021484375,-0.02172134257853031,-0.25241678953170776,0.5315611958503723
1782987858735795500,0.35679541015625,-0.08333569765090942,-0.3368280827999115,0.47546353936195374
1782987858745869300,0.366869384765625,-0.14441397786140442,-0.4563233256340027,0.3881182372570038
1782987858755943400,0.376943359375,-0.1956193745136261,-0.5569401979446411,0.28341394662857056
1782987858766018300,0.387018310546875,-0.23814739286899567,-0.6362155079841614,0.1702353060245514
1782987858776092400,0.397092529296875,-0.2697575092315674,-0.7012725472450256,0.05236617848277092
1782987858786167300,0.407167236328125,-0.2892358601093292,-0.7239991426467896,-0.041594576090574265
