time,seconds_elapsed,z,y,x
1782988057031730000,0.05872998046875,-0.7632904052734375,-0.3837738037109375,0.002349853515625
1782988057041804000,0.068803955078125,-0.7484893798828125,-0.388336181640625,0.00604248046875
1782988057051879200,0.078879150390625,-0.72967529296875,-0.39556884765625,0.01153564453125
1782988057061953000,0.088953125,-0.7031097412109375,-0.4089202880859375,0.0142364501953125
1782988057072028200,0.099028076171875,-0.673675537109375,-0.420562744140625,0.021331787109375
1782988057082102000,0.10910205078125,-0.65545654296875,-0.42724609375,0.040618896484375
1782988057092177200,0.11917724609375,-0.654327392578125,-0.423065185546875,0.064788818359375
1782988057102251000,0.1292509765625,-0.6623382568359375,-0.417083740234375,0.0840606689453125
1782988057112324900,0.139324951171875,-0.66595458984375,-0.4138641357421875,0.092071533203125
1782988057122400000,0.14939990234375,-0.663848876953125,-0.4151458740234375,0.096466064453125
1782988057132473900,0.159473876953125,-0.6612091064453125,-0.4228057861328125,0.0948333740234375
1782988057142549000,0.169549072265625,-0.666259765625,-0.437591552734375,0.0827789306640625
1782988057152622800,0.179622802734375,-0.691009521484375,-0.455596923828125,0.0694122314453125
1782988057162698000,0.189697998046875,-0.728515625,-0.4658660888671875,0.051910400390625
1782988057172772000,0.199772216796875,-0.7605438232421875,-0.467529296875,0.042938232421875
1782988057182847000,0.209846923828125,-0.787078857421875,-0.4693603515625,0.0492706298828125
1782988057192921000,0.219921142578125,-0.801422119140625,-0.470733642578125,0.0639190673828125
1782988057202996000,0.229995849609375,-0.80224609375,-0.4792633056640625,0.079620361328125
1782988057213070000,0.240070068359375,-0.7969970703125,-0.48931884765625,0.0995025634765625
1782988057223145000,0.25014501953125,-0.801727294921875,-0.4996337890625,0.12042236328125
1782988057233219000,0.260218994140625,-0.8114471435546875,-0.5104522705078125,0.1395111083984375
1782988057243294000,0.2702939453125,-0.825439453125,-0.5225372314453125,0.1629180908203125
1782988057253368000,0.2803681640625,-0.8442535400390625,-0.53741455078125,0.17730712890625
1782988057263442000,0.29044189453125,-0.8675537109375,-0.55474853515625,0.1888427734375
1782988057273514800,0.3005146484375,-0.881805419921875,-0.5658111572265625,0.1938018798828125
1782988057283588600,0.310588623046875,-0.889312744140625,-0.57366943359375,0.2002716064453125
1782988057293663700,0.320663818359375,-0.8888397216796875,-0.5882568359375,0.204925537109375
1782988057303737600,0.330737548828125,-0.890106201171875,-0.6039886474609375,0.2115936279296875
1782988057313812700,0.340812744140625,-0.91082763671875,-0.6120147705078125,0.21368408203125
1782988057323886600,0.350886474609375,-0.938323974609375,-0.613037109375,0.2076263427734375
1782988057333961700,0.360961669921875,-0.9585113525390625,-0.6051483154296875,0.2049560546875
1782988057344035600,0.37103564453125,-0.96453857421875,-0.6075592041015625,0.2182769775390625
1782988057354110700,0.38111083984375,-0.9483795166015625,-0.62396240234375,0.2470245361328125
1782988057364184600,0.3911845703125,-0.9105072021484375,-0.6316680908203125,0.2672271728515625
1782988057374259700,0.401259765625,-0.8794708251953125,-0.635528564453125,0.2617950439453125
1782988057384333600,0.41133349609375,-0.8705291748046875,-0.6308135986328125,0.2268218994140625
1782988057394408700,0.42140869140625,-0.9268035888671875,-0.6123199462890625,0.170806884765625
1782988057404482600,0.431482666015625,-1.0331268310546875,-0.5835723876953125,0.12506103515625
1782988057414556700,0.441556640625,-1.1410369873046875,-0.539825439453125,0.0956268310546875
1782988057424631800,0.4516318359375,-1.2381591796875,-0.488525390625,0.069366455078125
1782988057434705700,0.46170556640625,-1.2959442138671875,-0.443084716796875,0.05096435546875
1782988057444780800,0.47178076171875,-1.282684326171875,-0.4099884033203125,0.0571136474609375
1782988057454854700,0.481854736328125,-1.2183074951171875,-0.401458740234375,0.0833892822265625
1782988057464929800,0.4919296875,-1.1243743896484375,-0.4022216796875,0.1161346435546875
1782988057475003600,0.502003662109375,-1.02203369140625,-0.40155029296875,0.1460723876953125
1782988057485078800,0.512078857421875,-0.9290008544921875,-0.400146484375,0.17156982421875
1782988057495152600,0.522152587890625,-0.85223388671875,-0.4066162109375,0.1920623779296875
1782988057505227800,0.532227783203125,-0.80267333984375,-0.4110565185546875,0.2005462646484375
1782988057515301600,0.542301513671875,-0.774200439453125,-0.4040985107421875,0.1985931396484375
1782988057525376800,0.552376708984375,-0.755157470703125,-0.3953857421875,0.1935272216796875
