time,seconds_elapsed,z,y,x
1782985773515511000,0.061510986328125,-0.9686126708984375,-1.5088348388671875,0.29718017578125
1782985773525585000,0.0715849609375,-1.0700225830078125,-1.2321319580078125,0.1577911376953125
1782985773535659000,0.081658935546875,-1.0919952392578125,-0.98529052734375,0.0415496826171875
1782985773545732900,0.09173291015625,-1.0308685302734375,-0.8006591796875,-0.0382232666015625
1782985773555806000,0.101805908203125,-0.956268310546875,-0.65771484375,-0.081573486328125
1782985773565880000,0.111880126953125,-0.8802337646484375,-0.561981201171875,-0.0930328369140625
1782985773575954000,0.121953857421875,-0.86297607421875,-0.5173492431640625,-0.0668182373046875
1782985773586028000,0.132028076171875,-0.9702911376953125,-0.5170135498046875,-0.007904052734375
1782985773596102000,0.142101806640625,-1.1621246337890625,-0.4957275390625,0.0689239501953125
1782985773606175000,0.152175048828125,-1.320892333984375,-0.45794677734375,0.112548828125
1782985773616249000,0.1622490234375,-1.367919921875,-0.4352264404296875,0.098480224609375
1782985773626323000,0.172322998046875,-1.2999725341796875,-0.4263153076171875,0.061798095703125
1782985773636397000,0.18239697265625,-1.1545867919921875,-0.4270477294921875,0.0402984619140625
1782985773646471000,0.192470947265625,-0.971099853515625,-0.414154052734375,0.0226287841796875
1782985773656544000,0.2025439453125,-0.7670135498046875,-0.39105224609375,-0.0159912109375
1782985773666618000,0.2126181640625,-0.574859619140625,-0.3873748779296875,-0.0518798828125
1782985773676692000,0.22269189453125,-0.4304351806640625,-0.4022979736328125,-0.0781707763671875
1782985773686765800,0.232765869140625,-0.3369903564453125,-0.401824951171875,-0.0741729736328125
1782985773696840000,0.24283984375,-0.2713775634765625,-0.3763275146484375,-0.0758514404296875
1782985773706913000,0.2529130859375,-0.2236480712890625,-0.349273681640625,-0.0684661865234375
1782985773716987000,0.26298681640625,-0.1985931396484375,-0.3197021484375,-0.04656982421875
1782985773727061000,0.27306103515625,-0.1860809326171875,-0.297515869140625,-0.0287322998046875
1782985773737134800,0.283134765625,-0.173309326171875,-0.2764892578125,-0.0101318359375
1782985773747209000,0.293208984375,-0.1586151123046875,-0.2588348388671875,0.009765625
1782985773757282000,0.303281982421875,-0.13458251953125,-0.251678466796875,0.0171661376953125
1782985773767356000,0.31335595703125,-0.12103271484375,-0.247528076171875,0.036346435546875
1782985773777430000,0.323429931640625,-0.144805908203125,-0.2322845458984375,0.05865478515625
1782985773787503900,0.33350390625,-0.1595001220703125,-0.2166748046875,0.0755462646484375
1782985773797578000,0.343577880859375,-0.17034912109375,-0.2066802978515625,0.0803985595703125
1782985773807651000,0.353651123046875,-0.1817474365234375,-0.2054443359375,0.077606201171875
