recording_id,window_id,label,acc_x_mean,acc_x_std,acc_x_var,acc_x_rms,acc_x_max,acc_x_min,acc_y_mean,acc_y_std,acc_y_var,acc_y_rms,acc_y_max,acc_y_min,acc_z_mean,acc_z_std,acc_z_var,acc_z_rms,acc_z_max,acc_z_min,gyro_x_mean,gyro_x_std,gyro_x_var,gyro_x_rms,gyro_x_max,gyro_x_min,gyro_y_mean,gyro_y_std,gyro_y_var,gyro_y_rms,gyro_y_max,gyro_y_min,gyro_z_mean,gyro_z_std,gyro_z_var,gyro_z_rms,gyro_z_max,gyro_z_min,SMA,corr_xy,corr_xz,corr_yz,dominant_frequency,spectral_energy,fft_peak_magnitude
jumping_jumping_1,1,jumping,-0.7884078458983077,1.861957358571964,1.8424762346429857,1.833558754346661,2.2701799104383142,-1.7266954429041383,-0.21756258894843508,3.3566785138328274,4.92213124299399,3.3338162234487814,3.1541009342342794,-2.9532224214135154,-0.6214952697831263,1.7246111564208937,1.4614120923649057,1.7211844198473873,1.9279947762057499,-1.9734466279529919,2.0667465042741777,1.2945017978309117,0.9461312222530203,1.2995520976736,1.7028667864043963,-0.722861883840265,-0.09882872771346135,1.730745134081964,1.6899671631649813,1.6048968730412807,1.5197538426054675,-1.2016706426550121,0.10352753429684361,1.8750257597774402,2.0995710687021085,1.1996365923987922,1.9372525585739204,-1.6074970985307813,2.033004440773329,-0.2179026898593596,-0.40644562368402637,1.7440834619775019,-0.4440096756899423,2.1784161423121677,2.2005516700343257
jumping_jumping_1,2,jumping,0.0959272110594149,1.9539669407688398,2.011159736272718,1.9171152068725614,2.2701799104383142,-2.271134442717641,-0.3115582771986336,3.952083165740584,6.634851685513927,3.926735194149009,3.1721256262757476,-3.0021922657968587,-1.7375763327603317,2.1746833678675688,2.2836432261049433,2.1733515393495075,2.4226544028012293,-2.5434292930239986,-0.7271921822513011,1.5020025343524954,1.2622219582359906,1.4930410514721384,1.7028667864043963,-1.1083423903052516,0.11515892618087752,0.9827918918551458,0.5663791798048037,0.8858721158488403,0.7453876334415712,-1.307411103007913,0.09491680517030635,1.0943615980951829,0.7799425558503278,0.624086353305452,1.15904985697762,-1.2260423020905349,2.4726120217972154,-0.3430427192772064,-1.0785366785615935,1.726555513898855,0.2189087900653449,3.224711741696402,2.2526859839978615
jumping_jumping_1,3,jumping,-0.10165301672561247,1.6713091808311455,1.511209625660469,1.6357153459844629,1.8080648124415561,-2.271134442717641,4.345288898383279,3.147551579370266,4.376390882869996,3.1783288944537587,3.461249155449887,-3.0021922657968587,1.9228584212033204,2.346368544286408,2.635251417293275,2.345625850899529,2.767244565747671,-2.6250174759333347,-2.6431238521815277,1.983767991447133,2.1117983357297825,1.9937774559474977,1.8548355769956597,-1.619373225876279,-0.027675616536635455,0.7496347910168911,0.2931962920881469,0.6631550879739644,0.33258470519830796,-1.307411103007913,0.26600033276443197,0.6635307570770669,0.23465502250300416,0.31052303131990583,1.0357639833615457,-0.8212928624274548,2.3562211542084035,-0.21505236938825,-1.4257800021864386,1.5299452162659408,-0.04625859623676999,3.3155724214800353,2.4273237641599312
jumping_jumping_1,4,jumping,-0.3360934743345284,1.278756256610726,0.9066650864240463,1.246366054367982,1.8080648124415561,-0.7355743995249636,4.755783541595889,2.8299964795343726,3.6031905618519486,2.8774208277829967,3.8119041244200105,-2.597576586095874,0.8084053505876346,2.4636918776971592,2.887584906285748,2.4604696333890956,2.767244565747671,-2.852242477824305,0.02937992526490972,2.4448251021067136,3.0763046089981803,2.4309584477095805,2.0403938403665505,-1.619373225876279,0.27933834737731555,0.6111897395239262,0.14831750340856245,0.5312607854111168,0.9770278046531045,-0.4387158354767413,0.39140720217007113,0.45420491578129013,0.016696935466274994,0.1733241049290302,1.0357639833615457,-0.17099719122000842,2.3624145439985935,-0.7971559894040121,-1.7999333277015268,1.508657555232867,-0.04625859623676999,3.364639745360369,2.382659422714525
jumping_jumping_1,5,jumping,-0.9950069956442943,1.1538208700989123,0.7361602027818805,1.136247646120418,0.9265023913366137,-1.620772494254,0.3957257928557455,2.804369890612315,3.5437116955197827,2.7849719984140417,3.8119041244200105,-2.597576586095874,-4.044181770322204,2.3826913752326777,2.7123266218869553,2.3914511882920486,2.3187273077912547,-2.852242477824305,0.519608454232946,1.9136046449880464,1.9780061360263494,1.9017116484819492,2.0403938403665505,-1.4943433647315132,0.15674996145074196,0.6188742672333322,0.15602060143811897,0.536898125756201,0.9770278046531045,-0.4387158354767413,0.29377063047030283,0.13023964235054883,-0.2600590256717322,-0.07692442866380075,0.6396008371916497,-0.23531424699392728,2.289213460285685,0.7845858979789276,-0.055747744429333744,1.6691803697225072,-0.04625859623676999,3.230854461852712,2.206696593256247
jumping_jumping_1,6,jumping,-1.7426032558646423,1.107901882291826,0.6761500067412283,1.1224680339330593,0.35209677704782916,-1.620772494254,0.34647033919756803,2.0889617271935155,2.059168890367165,2.0726418682997867,1.4925071935294367,-1.8890483684878288,-0.6085086549024357,2.1264483870166826,2.1886309605671044,2.1229647989130647,1.8383885780895908,-2.3114143021024236,-0.7123860469073413,1.0905682840217437,0.6647072148995745,1.083111471284548,1.1455080477509616,-0.9955043690332629,0.11091492781496516,0.34742686397018274,-0.09196061669197406,0.2763039882687839,0.39035765724794985,0.06127433884829585,0.11866308455964766,0.2829658284260819,-0.1387572496947145,0.025271776418578723,0.07195949201164553,-1.0773207084324352,1.9965441949757523,2.369394947763645,1.3383248226044728,1.5927470062132125,0.020033250338758725,2.3313241894560477,1.8961452187766075
jumping_jumping_1,7,jumping,-0.4692755446919283,0.7391605620794371,0.24604523836801037,0.7116209757109229,0.6226001783802357,-1.0127115681484737,2.4049122244301815,1.8681356211071614,1.669533110420511,1.8780104945032305,1.6307966158849423,-1.8890483684878288,3.594411611901085,1.995160277340888,1.9384035182141148,2.0031516529759417,2.2772360459140537,-2.3114143021024236,-0.7615573190263475,1.075006475623756,0.6444222927956051,1.067981821103313,0.7601202988356623,-0.9955043690332629,-0.03915944609689221,0.1936821856148189,-0.21039001850915312,0.1305583931988831,0.33308430582166465,-0.147836470474921,0.07159605296542394,0.3671674219340928,-0.06488670084552979,0.08903811894664027,0.12081701295441838,-1.0773207084324352,1.85198123303782,2.3485376427822,1.240682325539442,1.4428496027203332,0.020033250338758725,1.8994504373473042,2.0638317279396716
jumping_jumping_10,1,jumping,-1.4153247663239807,1.4640289854669213,1.1789828779518312,1.4566431538400848,1.3568017164176647,-1.4566400439419696,-1.344829247470003,1.5362068840623069,1.1447418213840481,1.52614076282598,0.7146117644884151,-1.8395053282896388,2.181492111195664,1.0084384896677772,0.45005175150018456,1.0116952629540052,0.6509996874783984,-0.7606771360852679,-0.8945857982277715,2.0670223429448433,2.2750033690158533,2.0569880388101143,1.0291392827500518,-3.530170892072464,-0.6438070668069549,2.3729133775012374,2.955401998347324,2.235330106036947,4.280789416001754,-2.0056586391557345,-0.7676064631396678,1.2604389440372594,1.0248949596703074,0.9225523556204624,1.1326806317359364,-1.0936526571963943,1.2907482526222722,-1.0285006446267457,-0.865226954501237,1.2136288837790268,-0.4440096756899423,0.13621904075752522,0.46702501873844376
jumping_jumping_10,2,jumping,-1.4540648460672365,2.3176760723929273,2.734101054450044,2.3012350716311407,2.8651143114316464,-1.4566400439419696,-1.7823993211696738,1.4633157149240534,1.0392892702983487,1.4588670423978678,0.7449322823958562,-1.8395053282896388,1.18312390803036,1.2849676364626714,0.79732754785545,1.2830064921215183,1.2096622581661713,-1.0301533374085268,-2.093997863502228,2.074449987585828,2.2897985841178263,2.075578119821841,1.7961817553252912,-3.530170892072464,-0.28060336386251017,2.7167338075546064,3.7471371031179452,2.55318157513071,4.280789416001754,-1.6610602980997893,-0.8082649677764827,1.8337354502311463,2.019071380312928,1.323987737701489,1.672992884425719,-2.1949543690160613,1.5433717161422176,-1.5329645379656627,-2.316622353886959,1.1230803747900564,-0.17884228938782742,0.4136259688501274,0.705591144421613
jumping_jumping_10,3,jumping,-2.0940608625003008,2.4187538339124584,2.9509257926235204,2.4219754373049223,2.8651143114316464,-1.2795134299802742,-0.927021119809005,1.2043107628223413,0.6931070063635079,1.1927773441157468,1.0905363738737257,-1.5581251653665669,-0.23841835694654737,1.5134007742040099,1.125220713775819,1.5096711425831766,1.5823389216882686,-1.0543257668935935,0.10654179725294578,1.2470406186614884,0.8780484279294519,1.2363044535834269,1.7961817553252912,-0.6093919895665465,0.2869916366311656,2.2063506136831528,2.6004895249695696,2.0607428382066053,2.352099816234582,-1.6359070690014315,-0.18428508648983893,1.7040438196204664,1.7739983666064931,1.0930620603551433,1.672992884425719,-2.1949543690160613,1.6428395143175423,-1.5453512562615304,-3.088179018883878,1.347307076828698,-0.17884228938782742,0.7530263422263949,1.2783549110301666
