time,seconds_elapsed,z,y,x
1782987170923827200,0.0778271484375,0.0009646890684962273,0.0024258189368993044,-0.005655992776155472
1782987170933902300,0.08790234375,-0.0011793287703767419,-0.006454647518694401,-0.0034132259897887707
1782987170943976200,0.09797607421875,-0.0044821808114647865,-0.003014110028743744,0.0031629176810383797
1782987170954051300,0.10805126953125,-0.00041784433415159583,0.0062949154525995255,0.005422018002718687
1782987170964125200,0.118125244140625,-0.0005009349551983178,0.004252537153661251,0.0011548347538337111
1782987170974200300,0.128200439453125,0.0007099146023392677,-0.0028892899863421917,-0.0018958458676934242
1782987170984274200,0.138274169921875,0.00031816354021430016,-0.000760359107516706,-0.0007640023250132799
1782987170994349300,0.148349365234375,0.002314823679625988,-0.0024111331440508366,0.0015093903057277203
1782987171004423200,0.158423095703125,-0.00023941422114148736,0.0009641570504754782,-0.0009750727331265807
1782987171014497300,0.168497314453125,0.002094849944114685,-0.00588434562087059,-0.0013094765599817038
1782987171024572400,0.178572509765625,-0.002073263516649604,-0.001873625093139708,-0.00013901728380005807
1782987171034646300,0.188646240234375,0.00017657154239714146,-0.0027275169268250465,0.0010377444559708238
1782987171044721400,0.198721435546875,-0.004755069967359304,-0.0010183000704273582,-0.004216938745230436
1782987171054795300,0.208795166015625,0.00048682757187634706,0.000445730984210968,-0.0013022861676290631
1782987171064870400,0.218870361328125,-0.004972652532160282,-0.004495497792959213,-0.0023419843055307865
1782987171074944300,0.2289443359375,-0.0037066699005663395,-0.003095244523137808,-0.004194775130599737
1782987171085019400,0.239019287109375,-0.009667356498539448,-0.0005979983834549785,-0.001627754420042038
1782987171095093200,0.24909326171875,-0.005595735274255276,-0.019053302705287933,-0.00678588030859828
1782987171105168400,0.25916845703125,-0.0020976730156689882,-0.007142848335206509,-0.006570963189005852
1782987171115242200,0.2692421875,0.0012660740176215768,0.002593028824776411,0.0006255762418732047
1782987171125317400,0.2793173828125,0.000558738480322063,0.001116838539019227,0.005273857619613409
1782987171135391200,0.28939111328125,0.0025488303508609533,-0.0031912103295326233,0.002273688092827797
